nombre_completo,id,mision02
test01,0099089,3
test02,0099090,1
test03,0099091,3
test04,0099092,3
test05,0099093,1
test06,0099094,1
test07,0099095,1
test08,0099096,3
test09,0099097,2
test10,0099098,2
test11,0099099,3
test12,0099100,4
test13,0099101,4
test14,0099102,2
test15,0099103,3
test16,0099104,4
test17,0099105,4
test18,0099106,2
test19,0099107,5
test20,0099108,4
test21,0099109,2
test22,0099110,5
test23,0099111,5
test24,0099112,5
test25,0099113,5
test26,0099114,2
test27,0099115,1
